station	lat	lon	alt
v87	45.5	124.266998291016	137.399993896484
v88	45.1829986572266	124.833000183105	139.699996948242
v89	45	124.016998291016	146.300003051758
v90	45.117000579834	124.833000183105	134.699996948242
v91	45.7000007629395	125.25	148.699996948242
v92	45.75	126.766998291016	146
v93	45.5	125.083000183105	127.5
v94	45.382999420166	126.300003051758	166.5
v95	46	126.599998474121	123.199996948242
v96	45.5169982910156	126.949996948242	174.600006103516
v97	45.7830009460449	127.449996948242	192.199996948242
v98	45.9500007629395	128.033004760742	112
v99	45.9669990539551	128.733001708984	108.599998474121
v100	45.8330001831055	128.800003051758	119
v101	45.4500007629395	128.300003051758	155.100006103516
v102	45.2169990539551	127.967002868652	190.100006103516
v103	45.7669982910156	131.016998291016	225
v104	45.75	130.582992553711	219.300003051758
v105	45.2830009460449	130.949996948242	233.100006103516
v106	45.2669982910156	130.233001708984	273.600006103516
v107	45.7669982910156	132.966995239258	100.199996948242
v108	45.5499992370605	131.867004394531	150.5
v109	45.25	131.132995605469	175.800003051758
v110	48.0499992370605	86.4000015258789	532.599975585938
v111	47.0999984741211	86.6169967651367	1225.19995117188
v112	47.4329986572266	85.8669967651367	1000
v113	47.7000007629395	86.8669967651367	473.899993896484
v114	47.117000579834	87.4670028686523	500.899993896484
v115	47.7330017089844	88.0830001831055	735.099975585938
v116	46.9830017089844	89.5169982910156	807.5
v117	46.7330017089844	83	555
v118	46.2000007629395	82.9329986572266	715.400024414062
v119	46.5499992370605	83.6500015258789	521.599975585938
v120	46.7830009460449	85.7170028686523	1291.59997558594
v121	46.6669998168945	90.3830032348633	1218.19995117188
v122	45.1829986572266	82.5830001831055	282
v123	44.9000015258789	82.0670013427734	531.900024414062
v124	45.9329986572266	83.5999984741211	1118
v125	45.617000579834	84.8499984741211	442.600006103516
v126	45.367000579834	90.5329971313477	1650.09997558594
v127	44.2330017089844	80.4830017089844	713.299987792969
v128	44.0499992370605	80.8499984741211	640
v129	44.9669990539551	81.0169982910156	1354.59997558594
v130	44.617000579834	82.9000015258789	320.100006103516
v131	44.4329986572266	84.6669998168945	478.700012207031
v132	44.8499984741211	85.25	339.5
v133	45.0169982910156	86.0999984741211	346
v134	44.3170013427734	86.0500030517578	442.899993896484
v135	44.3330001831055	85.6169967651367	522.200012207031
v136	44.2830009460449	85.8170013427734	468.200012207031
v137	44.3170013427734	86.1999969482422	471.399993896484
