id,site,lat,lon,is_east,is_city
133,51356,44.3166666666667,86.005,WC,Urban
134,51357,44.3333333333333,85.3116666666667,WC,Urban
135,51358,44.2833333333333,85.415,WC,Urban
136,51359,44.3166666666667,86.1033333333333,WC,Urban
137,51365,44.2,87.3033333333333,WC,Urban
138,51367,44.1666666666667,86.5016666666667,WC,Urban
139,51368,44.1166666666667,87.115,WC,Urban
140,51369,43.9666666666667,87.315,WC,Urban
141,51377,44.1666666666667,87.5083333333333,WC,Urban
142,51378,44.0166666666667,89.1,WC,Urban
143,51379,44.0166666666667,89.3066666666667,WC,Urban
144,51430,43.8333333333333,81.015,WC,Urban
145,51431,43.95,81.2,WC,Urban
146,51433,43.8,82.3016666666667,WC,Urban
147,51434,43.9666666666667,81.3033333333333,WC,Urban
148,51435,43.4666666666667,82.1066666666667,WC,Urban
149,51436,43.45,83.1133333333333,WC,Urban
150,51437,43.15,81.0133333333333,WC,Urban
151,51438,43.1833333333333,81.41,WC,Urban
152,51463,43.7833333333333,87.315,WC,Urban
153,51465,43.4833333333333,87.01,WC,Urban
154,51467,42.7666666666667,86.2,WC,Rural
155,51468,43.1,86.5,WC,Urban
156,51469,43.45,87.1016666666667,WC,Urban
157,51470,43.8833333333333,88.0116666666667,WC,Rural
158,51477,43.35,88.115,WC,Urban
159,51482,43.8333333333333,90.1116666666667,WC,Urban
160,51495,43.2166666666667,91.4066666666667,WC,Rural
161,51526,42.2333333333333,88.105,WC,Rural
162,51542,43.0333333333333,84.015,WC,Urban
163,51559,42.3166666666667,86.2066666666667,WC,Urban
164,51567,42.0833333333333,86.3066666666667,WC,Urban
165,51568,42.25,86.4133333333333,WC,Urban
166,51571,42.8,88.3133333333333,WC,Urban
167,51573,42.9333333333333,89.1033333333333,WC,Urban
168,51581,42.85,90.1066666666667,WC,Urban
169,51627,41.2166666666667,79.1066666666667,WC,Urban
170,51628,41.1666666666667,80.1066666666667,WC,Urban
171,51629,41.2666666666667,80.1066666666667,WC,Urban
172,51633,41.7833333333333,81.5066666666667,WC,Urban
173,51636,41.55,82.315,WC,Urban
174,51639,41.2333333333333,82.4116666666667,WC,Urban
175,51642,41.8166666666667,84.11,WC,Urban
176,51644,41.7166666666667,82.5133333333333,WC,Urban
177,51655,41.35,86.11,WC,Urban
178,51656,41.75,86.0133333333333,WC,Urban
179,51701,40.5166666666667,75.2066666666667,WC,Rural
180,51704,39.7166666666667,76.1,WC,Urban
181,51705,39.7166666666667,75.1083333333333,WC,Urban
182,51707,39.5,76.4066666666667,WC,Urban
183,51708,39.15,75.5116666666667,WC,Urban
184,51709,39.4833333333333,75.4083333333333,WC,Urban
185,51711,40.9333333333333,78.2116666666667,WC,Rural
186,51716,39.8,78.3066666666667,WC,Urban
187,51717,39.25,76.4116666666667,WC,Urban
188,51720,40.5,79.005,WC,Urban
189,51722,40.65,80.2066666666667,WC,Urban
190,51730,40.55,81.11,WC,Rural
191,51747,39,83.4,WC,Urban
192,51765,40.6333333333333,87.4033333333333,WC,Rural
193,51777,39.0333333333333,88.1,WC,Rural
194,51802,38.9333333333333,76.1,WC,Urban
195,51804,37.7666666666667,75.1066666666667,WC,Rural
196,51810,38.9166666666667,77.3133333333333,WC,Urban
197,51811,38.4333333333333,77.11,WC,Urban
198,51814,37.9166666666667,77.2066666666667,WC,Urban
199,51815,38.2,77.11,WC,Urban
200,51818,37.6166666666667,78.1116666666667,WC,Urban
201,51826,37.0166666666667,80.4133333333333,WC,Urban
202,51827,37.1666666666667,79.3133333333333,WC,Urban
203,51828,37.1333333333333,79.51,WC,Urban
204,51829,37.0833333333333,80.1,WC,Urban
205,51839,37.0666666666667,82.405,WC,Rural
206,51855,38.15,85.305,WC,Rural
207,51886,38.25,90.5016666666667,WC,Urban
208,51931,36.85,81.315,WC,Urban
209,52101,43.6,93.005,WC,Urban
210,52112,43.75,94.515,WC,Urban
211,52118,43.2666666666667,94.4033333333333,WC,Urban
212,52203,42.8166666666667,93.3016666666667,WC,Urban
213,52267,41.95,101.066666666667,WC,Urban
214,52313,41.5333333333333,94.4,WC,Urban
215,52323,41.8,97.0033333333333,WC,Rural
216,52378,41.3666666666667,102.366666666667,WC,Urban
217,52418,40.15,94.4016666666667,WC,Rural
218,52424,40.5333333333333,95.4116666666667,WC,Urban
219,52436,40.2666666666667,97.0033333333333,WC,Urban
220,52446,40.3,99.3016666666667,WC,Rural
221,52447,40,98.505,WC,Urban
222,52495,40.1666666666667,104.8,WC,Urban
223,52533,39.7666666666667,98.215,WC,Urban
224,52546,39.3666666666667,99.5,WC,Urban
225,52557,39.15,100.166666666667,WC,Urban
226,52575,39.4166666666667,102.783333333333,WC,Urban
227,52576,39.2166666666667,101.683333333333,WC,Rural
228,52602,38.75,93.2,WC,Rural
229,52607,39.4333333333333,106.65,EC,Urban
230,52633,38.8166666666667,98.2083333333333,WC,Rural
231,52643,38.8333333333333,99.3116666666667,WC,Urban
232,52645,38.4333333333333,99.31,WC,Rural
233,52652,39.0833333333333,100.283333333333,WC,Urban
234,52656,38.4333333333333,100.816666666667,WC,Urban
235,52657,38.1833333333333,100.25,WC,Urban
236,52661,38.8,101.083333333333,WC,Urban
237,52674,38.2333333333333,101.966666666667,WC,Urban
